player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Trevor Ariza,arizatr01,2022,957,462,-4.422755093,-0.3665902908,-4.789345384,-1.370261696,-0.8830485726,-2.253310269,-4.036059282,-0.4649381654,-4.500997447,-0.4092415283,-0.4092415283,0,-3.622466532,-1.438520669,-5.060987201,-0.8456781082
D.J. Augustin,augusdj01,2022,1857,883,-1.422428972,-5.756452275,-7.178881247,-1.60856589,-3.943590618,-5.552156508,-1.517652039,-5.672597529,-7.190249568,-1.992845832,-1.992845832,0,-1.432779457,-6.188098685,-7.620878142,-0.315302741
Deni Avdija,avdijde01,2022,4128,1984,-1.133049281,1.899897197,0.7668479156,0.1640366481,1.758657353,1.922694001,-0.9145353163,2.025555642,1.111020325,3.914351013,3.914351013,0,-1.059733346,1.773328891,0.7135955448,0.1556784453
Joel Ayayi,ayayijo01,2022,39,20,-5.450988323,0.6844289834,-4.76655934,-14.41109243,17.4347155,3.023623069,-7.60343906,4.282426171,-3.321012889,-0.005633400984,-0.005633400984,0,-7.787770085,-0.8260525648,-8.61382265,-3.316163306
Deandre Ayton,aytonde01,2022,4359,2110,-0.9520395591,1.79060344,0.8385638811,2.986539261,-1.653114774,1.333424487,-0.240288974,1.121058918,0.8807699441,3.961705016,2.799981065,1.161723951,-0.4838761205,1.125588644,0.6417125237,-0.2625314559
Udoka Azubuike,azubuud01,2022,410,195,-4.622684742,3.303255614,-1.319429129,-3.804264591,3.198494435,-0.6057701556,-4.788555248,3.475116649,-1.313438599,0.1427431668,0.1427431668,0,-5.132421008,1.483308001,-3.649113007,-0.1251699911
Marvin Bagley III,baglema01,2022,2358,1146,-1.430307785,0.009292147081,-1.421015638,1.538749124,-1.010613294,0.5281358298,-0.8512423354,-0.1595412173,-1.010783553,1.006485954,1.006485954,0,-1.350735758,-0.5984827532,-1.949218511,-0.63341763
LaMelo Ball,ballla01,2022,5191,2422,2.768994226,-0.323825387,2.445168839,1.867909414,-1.891370977,-0.02346156373,2.711671293,-0.6583781374,2.053293156,6.074391027,6.074391027,0,4.034282679,0.105458443,4.139741122,2.34092642
Lonzo Ball,balllo01,2022,2528,1212,0.4644171149,2.525847953,2.990265067,-1.808946603,3.660002631,1.851056028,0.004397521782,2.937473605,2.941871127,3.545859532,3.545859532,0,0.8915733272,3.252604923,4.14417825,0.744996681
Mo Bamba,bambamo01,2022,3805,1824,-1.79517216,0.9085003625,-0.8866717974,-3.212977706,-0.9858875893,-4.198865295,-2.114574058,0.584924445,-1.529649613,1.136567678,1.136567678,0,-2.459754699,0.7403039184,-1.71945078,0.07958127473
